2026/08/05 19:04:49 INFO  : audios_processados/Clip 18_20260730_174252: Copied (new)
2026/08/05 19:04:49 INFO  : audios_processados/Clip 18_20260803_172225: Copied (new)
2026/08/05 19:04:49 INFO  : audios_processados/Clip 18_20260805_010932: Copied (new)
2026/08/05 19:04:49 INFO  : audios_processados/Clip 19: Copied (new)
2026/08/05 19:04:50 INFO  : audios_processados/Clip 18_20260805_133452: Copied (new)
2026/08/05 19:04:50 INFO  : audios_processados/Clip 19_20260719_210356: Copied (new)
2026/08/05 19:04:50 INFO  : audios_processados/Clip 19_20260720_143357: Copied (new)
2026/08/05 19:04:50 INFO  : audios_processados/Clip 19_20260722_131415: Copied (new)
2026/08/05 19:04:51 INFO  : audios_processados/Clip 19_20260722_190009: Copied (new)
2026/08/05 19:04:51 INFO  : audios_processados/Clip 19_20260723_033517: Copied (new)
2026/08/05 19:04:51 INFO  : audios_processados/Clip 19_20260723_131236: Copied (new)
2026/08/05 19:04:52 INFO  : audios_processados/Clip 19_20260724_142047: Copied (new)
2026/08/05 19:04:52 INFO  : audios_processados/Clip 19_20260724_115335: Copied (new)
2026/08/05 19:04:52 INFO  : audios_processados/Clip 19_20260727_005959: Copied (new)
2026/08/05 19:04:53 INFO  : audios_processados/Clip 19_20260727_154503: Copied (new)
2026/08/05 19:04:53 INFO  : audios_processados/Clip 19_20260728_135317: Copied (new)
2026/08/05 19:04:53 INFO  : audios_processados/Clip 19_20260805_011053: Copied (new)
2026/08/05 19:04:53 INFO  : audios_processados/Clip 19_20260725_111311: Copied (new)
2026/08/05 19:04:53 INFO  : audios_processados/Clip 19_20260730_181326: Copied (new)
2026/08/05 19:04:54 INFO  : audios_processados/Clip 19_20260805_133532: Copied (new)
2026/08/05 19:04:54 INFO  : audios_processados/Clip 1: Copied (new)
2026/08/05 19:04:54 INFO  : audios_processados/Clip 1_20260628_111325: Copied (new)
2026/08/05 19:04:54 INFO  : audios_processados/Clip 1_20260628_111400: Copied (new)
2026/08/05 19:04:54 INFO  : audios_processados/Clip 1_20260628_111743: Copied (new)
2026/08/05 19:04:55 INFO  : audios_processados/Clip 1_20260628_114132: Copied (new)
2026/08/05 19:04:55 INFO  : audios_processados/Clip 1_20260628_113031: Copied (new)
2026/08/05 19:04:55 INFO  : audios_processados/Clip 1_20260628_115404: Copied (new)
2026/08/05 19:04:56 INFO  : audios_processados/Clip 1_20260701_114501: Copied (new)
2026/08/05 19:04:56 INFO  : audios_processados/Clip 1_20260628_194105: Copied (new)
2026/08/05 19:04:56 INFO  : audios_processados/Clip 1_20260628_115748: Copied (new)
2026/08/05 19:04:56 INFO  : audios_processados/Clip 1_20260702_161945: Copied (new)
2026/08/05 19:04:56 INFO  : audios_processados/Clip 1_20260703_092111: Copied (new)
2026/08/05 19:04:57 INFO  : audios_processados/Clip 1_20260706_102148: Copied (new)
2026/08/05 19:04:57 INFO  : audios_processados/Clip 1_20260706_082707: Copied (new)
2026/08/05 19:04:57 INFO  : audios_processados/Clip 1_20260706_121845: Copied (new)
2026/08/05 19:04:58 INFO  : audios_processados/Clip 1_20260706_123652: Copied (new)
2026/08/05 19:04:58 INFO  : audios_processados/Clip 1_20260708_175737: Copied (new)
2026/08/05 19:04:58 INFO  : audios_processados/Clip 1_20260708_174920: Copied (new)
2026/08/05 19:04:58 INFO  : audios_processados/Clip 1_20260709_144140: Copied (new)
2026/08/05 19:04:58 INFO  : audios_processados/Clip 1_20260709_150632: Copied (new)
2026/08/05 19:04:59 INFO  : audios_processados/Clip 1_20260709_195506: Copied (new)
2026/08/05 19:04:59 INFO  : audios_processados/Clip 1_20260709_172558: Copied (new)
2026/08/05 19:04:59 INFO  : audios_processados/Clip 1_20260710_194721: Copied (new)
2026/08/05 19:05:00 INFO  : audios_processados/Clip 1_20260710_115517: Copied (new)
2026/08/05 19:05:00 INFO  : audios_processados/Clip 1_20260713_153121: Copied (new)
2026/08/05 19:05:01 INFO  : audios_processados/Clip 1_20260714_122631: Copied (new)
2026/08/05 19:05:30 INFO  : audios_processados/Clip 1_20260715_233011: Copied (new)
2026/08/05 19:05:33 INFO  : audios_processados/Clip 1_20260717_223942: Copied (new)
2026/08/05 19:05:33 INFO  : audios_processados/Clip 1_20260715_170639: Copied (new)
2026/08/05 19:05:33 INFO  : audios_processados/Clip 1_20260717_025547: Copied (new)
2026/08/05 19:05:33 INFO  : audios_processados/Clip 1_20260714_113212: Copied (new)
2026/08/05 19:05:33 INFO  : audios_processados/Clip 1_20260714_091459: Copied (new)
2026/08/05 19:05:33 INFO  : audios_processados/Clip 1_20260717_143409: Copied (new)
2026/08/05 19:05:33 INFO  : audios_processados/Clip 1_20260710_121049: Copied (new)
2026/08/05 19:05:34 INFO  : audios_processados/Clip 1_20260715_113108: Copied (new)
2026/08/05 19:05:35 INFO  : audios_processados/Clip 1_20260718_012730: Copied (new)
2026/08/05 19:05:35 INFO  : audios_processados/Clip 1_20260718_090447: Copied (new)
2026/08/05 19:05:35 INFO  : audios_processados/Clip 1_20260718_100618: Copied (new)
2026/08/05 19:05:35 INFO  : audios_processados/Clip 1_20260718_102125: Copied (new)
2026/08/05 19:05:35 INFO  : audios_processados/Clip 1_20260718_155803: Copied (new)
2026/08/05 19:05:35 INFO  : audios_processados/Clip 1_20260718_111151: Copied (new)
2026/08/05 19:05:35 INFO  : audios_processados/Clip 1_20260718_161217: Copied (new)
2026/08/05 19:05:37 INFO  : audios_processados/Clip 1_20260718_202222: Copied (new)
2026/08/05 19:05:37 INFO  : audios_processados/Clip 1_20260720_102254: Copied (new)
2026/08/05 19:05:37 INFO  : audios_processados/Clip 1_20260720_113659: Copied (new)
2026/08/05 19:05:37 INFO  : audios_processados/Clip 1_20260722_114039: Copied (new)
2026/08/05 19:05:37 INFO  : audios_processados/Clip 1_20260722_135252: Copied (new)
2026/08/05 19:05:39 INFO  : audios_processados/Clip 1_20260719_095903: Copied (new)
2026/08/05 19:05:39 INFO  : audios_processados/Clip 1_20260721_222951: Copied (new)
2026/08/05 19:05:39 INFO  : audios_processados/Clip 1_20260726_005238: Copied (new)
2026/08/05 19:05:39 INFO  : audios_processados/Clip 1_20260726_134604: Copied (new)
2026/08/05 19:05:39 INFO  : audios_processados/Clip 1_20260726_151619: Copied (new)
2026/08/05 19:05:39 INFO  : audios_processados/Clip 1_20260723_222049: Copied (new)
2026/08/05 19:05:40 INFO  : audios_processados/Clip 1_20260720_084109: Copied (new)
2026/08/05 19:05:40 INFO  : audios_processados/Clip 1_20260727_113328: Copied (new)
2026/08/05 19:05:40 INFO  : audios_processados/Clip 1_20260728_104127: Copied (new)
2026/08/05 19:05:41 INFO  : audios_processados/Clip 1_20260728_222312: Copied (new)
2026/08/05 19:05:41 INFO  : audios_processados/Clip 1_20260729_033813: Copied (new)
2026/08/05 19:05:41 INFO  : audios_processados/Clip 1_20260729_110019: Copied (new)
2026/08/05 19:05:41 INFO  : audios_processados/Clip 1_20260730_104834: Copied (new)
2026/08/05 19:05:41 INFO  : audios_processados/Clip 1_20260729_152146: Copied (new)
2026/08/05 19:05:41 INFO  : audios_processados/Clip 1_20260731_105359: Copied (new)
